 rank  , Id , reg, loc, Clu, Value 
   1  , "Ted Enamorado"                   , 3 , 3 , 35   , 36.666666666
   2  , "Gabriel L&#243;pez-Moctezuma"    , 3 , 3 , 35   , 36.666666666
   3  , "Marc Ratkovic"                   , 3 , 3 , 35   , 36.666666666
   4  , "Aaron D. Ames"                   , 3 , 2 , 7    , 26.165980584
   5  , "Lior Pachter"                    , 3 , 3 , 6    , 22.269776227
   6  , "Chi Ma"                          , 3 , 3 , 23   , 21
   7  , "Alan E. Rubin"                   , 3 , 3 , 23   , 21
   8  , "P. P. Vaidyanathan"              , 3 , 3 , 20   , 21
   9  , "C. Elachi"                       , 2 , 1 , 5    , 18.080555556
  10  , "Jakob van Zyl"                   , 3 , 2 , 5    , 18
  11  , "Sergio Pellegrino"               , 3 , 2 , 21   , 17
  12  , "Koryo Miura"                     , 3 , 2 , 21   , 17
  13  , "Christian Frankenberg"           , 3 , 2 , 1    , 12.451481377
  14  , "Gennady Gorin"                   , 3 , 3 , 6    , 10.833333334
  15  , "Victoria Kostina"                , 3 , 3 , 20   , 10.777777778
  16  , "Zhang Yunjun"                    , 3 , 3 , 5    , 10.097619048
  17  , "Jim Fuller"                      , 3 , 2 , 14   , 9.216666667
  18  , "Yujie Wang"                      , 3 , 2 , 1    , 9.105721243
  19  , "Po&#8208;Chih Chen"              , 7 , 1 , 20   , 8
  20  , "Richard M. Murray"               , 3 , 3 , 7    , 7.638888889
  21  , "Babak Hassibi"                   , 2 , 1 , 20   , 7.611111111
  22  , "Michelle Effros"                 , 3 , 3 , 20   , 7.277777778
  23  , "Michael Ewens"                   , 1 , 1 , 10   , 7
  24  , "Joan Farre-Mensa"                , 3 , 2 , 10   , 7
  25  , "Pranav Kulkarni"                 , 3 , 2 , 20   , 7
  26  , "Xiaobin Xiong"                   , 3 , 3 , 7    , 6.827777778
  27  , "Jean-Roch Vlimant"               , 2 , 1 , 11   , 6.818542933
  28  , "A. Sina Booeshaghi"              , 3 , 3 , 6    , 6.433688072
  29  , "Heresh Fattahi"                  , 3 , 1 , 5    , 6.122619048
  30  , "O&#287;uzhan Teke"               , 3 , 3 , 20   , 6.055555556
  31  , "Rupert L. Frank"                 , 3 , 3 , 30   , 6
  32  , "Simon Larson"                    , 3 , 1 , 30   , 6
  33  , "Michael Langberg"                , 3 , 3 , 20   , 5.944444445
  34  , "Jenna Reher"                     , 3 , 1 , 7    , 5.538333334
  35  , "Shing-Chi Leung"                 , 3 , 3 , 14   , 5.493404510
  36  , "Ying-Hsuan Lin"                  , 3 , 3 , 13   , 5.372222223
  37  , "Tara Chari"                      , 3 , 3 , 6    , 5.336088155
  38  , "Po-Shen Hsin"                    , 3 , 2 , 13   , 5.222222223
  39  , "Douglas C. Rees"                 , 3 , 2 , 8    , 5.167679771
