Id;Label;Greek;Nature;Longitude;Latitude;Source;Target;Port-commodity;Source-a;Target-a;Type;port-port;;;Source-b;Target-b;Port-commodity group;Source-d;Target-d;Commodity groups;Id;Label
1001;Myos Hormos;;Emporion;34.14;26.9;1001;2032;;1013;1001;Undirected;;;;1001;2032;;2001;2001;;;
;;;;;;1001;2003;;1018;1001;Undirected;;;;1001;2111;;2002;2002;;2111;Clothing
;;;;;;1001;2004;;1021;1001;Undirected;;;;1001;2111;;2003;2111;;2112;Cotton-clothing
;;;;;;1001;2005;;1001;1003;Undirected;;;;1001;2111;;2004;2111;;2113;Cloth
;;;;;;1001;2003;;1006;1004;Undirected;;;;1001;2111;;2005;2111;;2114;Cotton-cloth
;;;;;;1001;2004;;1006;1005;Undirected;;;;1001;2111;;2006;2111;;2115;Silk-products
;;;;;;1001;2005;;1001;1006;Undirected;;;;1001;2111;;2007;2111;;2131;Glass
;;;;;;1001;2006;;1001;1007;Undirected;;;;1001;2111;;2008;2131;;2117;Tools
;;;;;;1001;2007;;1006;1007;Undirected;;;;1001;2111;;2009;2131;;2118;Base metals
;;;;;;1001;2008;;1008;1007;Undirected;;;;1001;2116;;2010;2118;;2119;Tableware
;;;;;;1001;2009;;1010;1007;Undirected;;;;1001;2116;;2011;2119;;2120;Pigments
;;;;;;1001;2010;;1011;1007;Undirected;;;;1001;2118;;2012;2118;;2128;Mediterranean plant products
;;;;;;1001;2011;;1012;1007;Undirected;;;;1001;2119;;2013;2117;;2121;Gulf of Aden plant products
;;;;;;1001;2012;;1013;1007;Undirected;;;;1001;2118;;2014;2117;;2122;Indian plant products
;;;;;;1001;2013;;1014;1007;Undirected;;;;1001;2117;;2015;2117;;2123;Mediterranean gems
;;;;;;1001;2014;;1015;1007;Undirected;;;;1001;2117;;2016;2119;;2124;Indian gems
;;;;;;1001;2015;;1018;1007;Undirected;;;;1001;2117;;2017;2127;;2125;Timber
;;;;;;1001;2016;;1019;1007;Undirected;;;;1001;2119;;2018;2119;;2126;Fat / oil
;;;;;;1001;2017;;1021;1007;Undirected;;;;1001;2127;;2019;2119;;2127;Bullion
;;;;;;1001;2018;;1023;1007;Undirected;;;;1001;2119;;2020;2111;;2129;Animals
;;;;;;1001;2019;;1001;1008;Undirected;;;;1001;2119;;2021;2117;;2130;Mineral
;;;;;;1001;2020;;1008;1009;Undirected;;;;1001;2111;;2022;2114;;2001;Tortoise shell
;;;;;;1001;2030;;1008;1010;Undirected;;;;1001;2030;;2023;2114;;2002;Ivory
;;;;;;1001;2031;;1011;1010;Undirected;;;;1001;2126;;2024;2111;;2028;Rhinoceros horn
;;;;;;1001;2029;;1012;1010;Undirected;;;;1001;2123;;2025;2114;;2030;Wine
;;;;;;1001;2033;;1013;1010;Undirected;;;;1001;2118;;2026;2112;;2032;Grain
;;;;;;1001;2036;;1014;1010;Undirected;;;;1001;2121;;2027;2120;;2044;Slaves
;;;;;;1001;2037;;1015;1010;Undirected;;;;1001;2121;;2028;2028;;2054;Nautilus shell
;;;;;;1001;2038;;1017;1010;Undirected;;;;1001;2121;;2029;2128;;2055;Rice
;;;;;;1001;2059;;1021;1010;Undirected;;;;1001;2113;;2030;2030;;2070;White marble
;;;;;;1001;2060;;1026;1010;Undirected;;;;1001;2111;;2031;2126;;2072;Coral
;;;;;;1001;2061;;1001;1011;Undirected;;;;1001;2128;;2032;2032;;2079;Pearls
;;;;;;1001;2062;;1001;1012;Undirected;;;;1001;2128;;2033;2118;;;
;;;;;;1001;2063;;1001;1014;Undirected;;;;1001;2113;;2034;2121;;;
;;;;;;1001;2064;;1001;1015;Undirected;;;;1001;2111;;2035;2121;;;
;;;;;;1001;2065;;1010;1016;Undirected;;;;1001;2128;;2036;2111;;;
;;;;;;1001;2066;;1001;1019;Undirected;;;;1001;2129;;2037;2111;;;
;;;;;;1001;2067;;1021;1019;Undirected;;;;1001;2129;;2038;2119;;;
;;;;;;1001;2068;;1023;1019;Undirected;;;;1001;2111;;2039;2121;;;
;;;;;;1001;2069;;1019;1024;Undirected;;;;1001;2119;;2040;2121;;;
;;;;;;1001;2070;;1007;1025;Undirected;;;;1001;2070;;2041;2121;;;
;;;;;;1001;2071;;1019;1025;Undirected;;;;1001;2118;;2042;2121;;;
;;;;;;1001;2072;;1007;1026;Undirected;;;;1001;2072;;2043;2121;;;
;;;;;;1001;2073;;1019;1026;Undirected;;;;1001;2073;;2044;2044;;;
;;;;;;1001;2082;;1001;1028;Undirected;;;;1001;2111;;2045;2121;;;
